,,,,,,,,,,,,,,,,,,,,,,,,,IUCN Red List version 2017-2: Table 1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Last Updated: 14 September 2017,,,,,,,,,,,,
Table 1:,Numbers of threatened species by major groups of organisms (1996–2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Changes in number of threatened species from year to year should not be directly interpreted as trends in the status of biodiversity. The figures displayed below reflect increased assessment efforts by IUCN and its Partners over time, rather than genuine changes in numbers of threatened species. For a clearer view of genuine trends in the status of biodiversity please refer to the IUCN Red List Index (see the section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trends in the status of biodiversity on the IUCN Red List web site: http://www.iucnredlist.org/about/summary-statistics#TrendsInBiodiversityStatus).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Number of,Number of,Number of,Number of,Number of,Number of,Number of,Number of,,,,,Best estimate of %,,,,
,,,,Number of,,,,,,,,,,,,,,,,,threatened,threatened,threatened,threatened,threatened,threatened,threatened,threatened,Number of,,Species,Lower estimate of %,threatened species,,,,Upper estimate of %
,,,Estimated,species,Number of,,Number of,,Number of,,Number of,,Number of,,Number of,,Number of,,Number of,,,,,,,,,,threatened,,,threatened species,,,,,threatened species
,,,Number of,evaluated by,threatened,,threatened,,threatened,,threatened,,threatened,,threatened,,threatened,,threatened,,species in,species in,species in,species in,species in,species in,species in,species in,species2,in,,in 2017,,,,,in 2017
,,,,,,,,,,,,,,,,,,,,,2009 (IUCN,2010 (IUCN,2011 (IUCN,2012 (IUCN,2013 (IUCN,2014 (IUCN,2015 (IUCN,2016 (IUCN,,,"2017, as % of",,(number threatened as,,,,
,,,described,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,(number threatened as,,,,,(number threatened +
,,,,2017 (IUCN,species,in,species,in,species,in,species,in,species,in,species,in,species,in,species,in,,,,,,,,,2017 (IUCN Red,,species,,%,of,extant,data,
,,,,,,,,,,,,,,,,,,,,,Red List,Red List,Red List,Red List,Red List,Red List,Red List,Red List,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% of extant evaluated,,,,,DD as % of extant
,,,species,Red List,1996/98,,2000,,2002,,2003,,2004,,2006,,2007,,2008,,,,,,,,,,List version,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3",,sufficient evaluated,,,,
,,,,,,,,,,,,,,,,,,,,,version,version,version,version,version,version,version,version 2016-,,,described,"2,3,4",,,,,"2,3,4"
,,,,version 2017-2),,,,,,,,,,,,,,,,,,,,,,,,,2017-2),,,species),,,,,evaluated species)
,,,,,,,,,,,,,,,,,,,,,2009.2),2010.4),2011.2),2012.2),2013.2),2014.3),2015.4),3),,,,,"2,3,4species)",,,,
VERTEBRATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammals 5,,,"5,644","5,644","1,096",,"1,130",,"1,137",,"1,130",,"1,101",,"1,093",,"1,094",,"1,141",,"1,142","1,131","1,138","1,139","1,143","1,199","1,197","1,194","1,196",,100%,21%,,,25%,,36%
"Birds
Reptiles",,,"11,121
10,450","11,121
5,847","1,107
253",,"1,183
296",,"1,192
293",,"1,194
293",,"1,213
304",,"1,206
341",,"1,217
422",,"1,222
423",,"1,223
469","1,240
594","1,253
772","1,313
807","1,308
879","1,373
927","1,375
944","1,460
1,079","1,460
1,185",,"100%
56%",13%,"13%
Insufficient coverage",,,,14%
Amphibians,,,"7,696","6,582",124,,146,,157,,157,,"1,770",,"1,811",,"1,808",,"1,905",,"1,895","1,898","1,917","1,933","1,950","1,957","1,994","2,068","2,100",,86%,32%,,,42%,,55%
Fishes,,,"33,600","16,197",734,,752,,742,,750,,800,,"1,171",,"1,201",,"1,275",,"1,414","1,851","2,028","2,058","2,110","2,222","2,271","2,359","2,371",,48%,,Insufficient coverage,,,,
,,Subtotal,"68,511","45,391","3,314",,"3,507",,"3,521",,"3,524",,"5,188",,"5,622",,"5,742",,"5,966",,"6,143","6,714","7,108","7,250","7,390","7,678","7,781","8,160","8,312",,66%,,,,,,
INVERTEBRATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insects,,,"1,000,000","7,100",537,,555,,557,,553,,559,,623,,623,,626,,711,733,741,829,896,993,"1,046","1,268","1,338",,0.7%,,Insufficient coverage,,,,
Molluscs,,,"85,000","7,276",920,,938,,939,,967,,974,,975,,978,,978,,"1,036","1,288","1,673","1,857","1,898","1,950","1,950","1,984","1,984",,9%,,Insufficient coverage,,,,
"Crustaceans 6
Corals",,,"47,000
2,175","3,177
864","407
1",,"408
1",,"409
1",,"409
1",,"429
1",,"459
1",,"460
4",,"606
235",,"606
235","596
235","596
235","596
236","723
235","725
235","728
237","732
237","732
237",,"7%
40%",,"Insufficient coverage
Insufficient coverage",,,,
Arachnids,,,"102,248",249,11,,11,,11,,11,,11,,11,,11,,18,,18,19,19,20,21,163,164,166,170,,0.24%,,Insufficient coverage,,,,
"Velvet Worms
Horseshoe Crabs",,,"165
4","11
4","6
0",,"6
0",,"6
0",,"9
0",,"9
0",,"9
0",,"9
0",,"9
0",,"9
0","9
0","9
0","9
0","9
0","9
0","9
0","9
1","9
1",,"7%
100%",25%,"Insufficient coverage
100%",,,,100%
Others,,,"68,658",773,9,,9,,9,,9,,9,,24,,24,,24,,24,24,24,23,40,65,67,73,143,,1.13%,,Insufficient coverage,,,,
,,Subtotal,"1,305,250","19,454","1,891",,"1,928",,"1,932",,"1,959",,"1,992",,"2,102",,"2,109",,"2,496",,"2,639","2,904","3,297","3,570","3,822","4,140","4,201","4,470","4,614",,1%,,,,,,
PLANTS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosses 8,,,"16,236",102,---,,80,,80,,80,,80,,80,,80,,82,,82,80,80,76,76,76,76,76,76,,0.6%,,Insufficient coverage,,,,
"Ferns and Allies 9
Gymnosperms",,,"12,000
1,052","478
1,012","---
142",,"---
141",,"---
142",,"111
304",,"140
305",,"139
306",,"139
321",,"139
323",,"139
322","148
371","163
377","167
374","187
399","194
400","197
400","217
400","246
401",,"4%
96%",40%,"Insufficient coverage
40%",,,,42%
Flowering Plants,,,"268,000","21,411","5,186",,"5,390",,"5,492",,"6,279",,"7,796",,"7,865",,"7,899",,"7,904",,"7,948","8,116","8,527","8,764","9,394","9,905","10,551","10,941","11,370",,8%,,Insufficient coverage,,,,
Green Algae 10,,,"6,050",13,---,,---,,---,,---,,---,,---,,0,,0,,0,0,0,0,0,0,0,0,0,,0.2%,,Insufficient coverage,,,,
